21,59786,RANDOLPH PARK & RIDE,29.5245273,-98.3921068,20299,20299
21,28113,RANDOLPH & O'CONNOR,29.5425163,-98.3671666,21682,21731
21,62457,NEW WORLD & CRESTWAY,29.522448,-98.3545048,21917,21929
21,38697,WIND BURN TR. & KITTY HAWK,29.5341779,-98.3319886,22250,22266
21,96877,FM 1516 & UPPER SEGUIN RD.,29.504979,-98.3075833,22859,22882
21,69299,FOSTER RD. BET. HERITAGE LAKE & FM,29.4791316,-98.3599126,23643,23690
21,84139,O.SEGUIN RD/GIBBS SPRAWL (ACKERMAN),29.4712566,-98.3809808,23920,23946
21,53639,IH35-S ACCESS RD. & ERVIN,29.4396306,-98.4495615,24840,24914
21,91139,COMMERCE & PRESA,29.4239953,-98.4890066,25280,25280
77,91139,COMMERCE & PRESA,29.4239953,-98.4890066,25280,25371
77,76759,MARTIN & N. FRIO,29.4300453,-98.5029291,25897,26022
77,78399,MARTIN & N. ZARZAMORA,29.4321051,-98.5263509,26336,26369
77,53119,POPLAR & 28TH,29.4428298,-98.5477395,26762,26775
77,42853,AURORA & CONSUELO,29.4440678,-98.5825911,27528,27528
505,32166,CROSSROADS PARK/RIDE TERMINAL,29.4940938,-98.5480596,18643,18764
505,49516,WEST AVE/ & BASSE,29.4883128,-98.5259038,19133,19157
505,47543,BASSE & SAN PEDRO,29.4881186,-98.4995386,19433,19550
505,47163,CASTANO & BROADWAY,29.490128,-98.4661161,20037,20052
505,28983,EISENHAUER & AUSTIN HWY.,29.4957148,-98.4302158,20503,20530
505,26526,DELL OAK & HIALEAH,29.497314,-98.4065734,20769,20783
505,59786,RANDOLPH PARK & RIDE,29.5242158,-98.3924523,21301,21301
509,79547,VILLAGE DR. & N.E. LOOP 410 W,29.5165473,-98.4272346,23605,23636
509,58367,HARRY WURZBACH & RITTIMAN,29.4852596,-98.4303035,24271,24294
509,98249,HILDEBRAND & BROADWAY,29.4657506,-98.4626,25069,25118
509,97259,HILDEBRAND & SAN PEDRO,29.466519,-98.4991904,25645,25684
509,98573,MARY LOUISE & FREDERICKSBURG RD.,29.4646848,-98.5264631,26215,26342
509,95619,DONALDSON & WILSON,29.4640625,-98.5398449,26568,26652
509,76859,E. SUNSHINE & HILLCREST,29.4726411,-98.5673456,27066,27150
509,44556,CALLAGHAN & CENTERVIEW,29.4884338,-98.5752506,NULL,NULL
509,99593,TORINO & CALLAGHAN,29.5079146,-98.5549928,NULL,NULL
2,10059,NORTH STAR TRANSIT CENTER (SOUTH SI,29.5193903,-98.4983098,14702,14991
2,45517,BLANCO & BASSE,29.4889436,-98.5078968,15572,15597
2,85927,BLANCO & RIDGEWOOD,29.4671968,-98.5079288,15843,15857
2,56227,FREDERICKSBURG RD. & LAUREL,29.442213,-98.5043036,16220,16239
2,79823,PECAN & SOLEDAD,29.4285176,-98.4933936,16538,16538
82,99396,NAVARRO OPPOSITE VILLITA,29.4226433,-98.4903063,51559,51606
82,56239,FREDERICKSBURG RD. & N. FLORES,29.4418993,-98.5036896,52516,52581
82,41189,CULEBRA & GEN. MCMULLEN,29.4478093,-98.5515538,53273,53339
82,36719,CULEBRA & N.W. 36TH ST.,29.4494325,-98.5687438,53554,53589
82,35989,CULEBRA & CALLAGHAN,29.4486248,-98.6022358,53884,53960
82,98547,INGRAM TRANSFER CENTER,29.4647945,-98.626004,54621,54621
51,79823,PECAN & SOLEDAD,29.4285176,-98.4933936,57542,57669
51,36277,NOGALITOS & KELLER,29.4085271,-98.5023173,58759,58867
51,97937,NOGALITOS & CENTENNIAL,29.3760783,-98.5331355,59747,59781
51,74117,NAVAJO & S. PANAM,29.3473468,-98.5443341,60502,60567
51,11356,MADLA TRANSIT CENTER (W.SIDE),29.3500953,-98.532329,60955,60955
620,83439,NORTHWEST VISTA COLLEGE,29.4700006,-98.7064313,NULL,NULL
620,56273,POTRANCO & HWY. 151 ACCESS RD.,29.4430768,-98.6635606,25959,25969
620,98547,INGRAM TRANSFER CENTER,29.4647945,-98.626004,26876,26876
64,83439,NORTHWEST VISTA COLLEGE,29.4700006,-98.7064313,NULL,NULL
64,56273,POTRANCO & HWY. 151 ACCESS RD.,29.4430768,-98.6635606,19627,19640
64,46473,KLAC TRANSIT CENTER,29.402571,-98.6318226,20460,20460
64,89913,DOLOROSA & S. MAIN,29.4240781,-98.4940461,22493,22493
97,28763,LOCKHILL-SELMA & BEL AIR,29.5399755,-98.5268036,NULL,NULL
97,78797,WEST AVE BET L410 & JACKSON-KELLER,29.5160606,-98.5260178,16316,16329
97,49517,WEST AVE. OPPOSITE BASSE,29.4886567,-98.5260558,16780,16792
97,10203,FRED. RD. & MARY LOUISE STATION,29.4649876,-98.5265244,17261,17312
97,56227,FREDERICKSBURG RD. & LAUREL,29.442213,-98.5043036,17807,17820
97,79877,ST. MARY'S BETWEEN CONVENT & MART,29.429507,-98.4914336,18220,18220
97,99496,NAVARRO FARSIDE OF BRIDGE,29.4229885,-98.4902481,18535,18587
97,56239,FREDERICKSBURG RD. & N. FLORES,29.4418993,-98.5036896,19260,19290
97,99629,FREDERICKSBURG RD. & MARY LOUISE,29.4645601,-98.525972,19828,19853
97,49516,WEST AVE/ & BASSE,29.4883128,-98.5259038,20226,20250
97,78896,WEST AVE. IN FRONT OF H.E.B.,29.5156987,-98.5258391,20624,20658
97,28779,LOCKHILL-SELMA BET. BELAIR & MIL. H,29.5402939,-98.5268992,20966,20976
97,69719,LOCKHILL-SELMA & HUEBNER,29.5641311,-98.5577046,21334,21369
97,67687,SILICON AT WAL-MARTSUPERCENTER,29.5646423,-98.593691,22214,22214
54,79877,ST. MARY'S BETWEEN CONVENT & MART,29.429507,-98.4914336,48954,49000
54,36277,NOGALITOS & KELLER,29.4085271,-98.5023173,49761,49770
54,62187,NOGALITOS & TAFT,29.395007,-98.5165678,50232,50256
54,85879,CULBERSON & JENNINGS,29.3820269,-98.5376601,50720,51729
54,62183,TAFT & NOGALITOS,29.3949163,-98.5168132,52258,52332
54,36296,NOGALITOS & S. FLORES,29.4087298,-98.5018366,52998,53047
54,99496,NAVARRO FARSIDE OF BRIDGE,29.4229885,-98.4902481,53480,53480
